code_insee;nom;commune_multi_cantonale;popul;nom_canton;epci;nom_sdsei;nom_utd;cons_dptale;cons_dptal;num_sdsei;siren_epci
64139;Bosdarros;non;995;Ouzom,,ave,t,ives,u,eez;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Valérie,AMBON;Jean,RRIUBERGE;SDSEI 6;216401398
64072;Aubertin;non;666;Billère,t,oteaux,e,urançon;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Véronique,EHOS;Patrice,ADUEL;SDSEI 6;216400721


64129;Billère;non;14080;Billère,t,oteaux,e,urançon;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Véronique,EHOS;Patrice,ADUEL;SDSEI 6;216401299
64348;Lons;non;14188;Lescar,,ave,t,erres,u,ont-Long;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Sandrine,AFARGUE;Nicolas,ATRIARCHE;SDSEI 6;216403485
64549;Uzein;non;1310;Lescar,,ave,t,erres,u,ont-Long;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Sandrine,AFARGUE;Nicolas,ATRIARCHE;SDSEI 6;216405498
64059;Artigueloutan;non;1121;Pays,e,orlaàs,t,u,ontanérès;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Isabelle,AHORE;Thierry,ARRERE;SDSEI 6;216400598


64269;Idron;non;5078;Pau-2;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Karine,ERE;Jean-François,AISON;SDSEI 6;216402693
64467;Rontignon;non;879;Ouzom,,ave,t,ives,u,eez;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Valérie,AMBON;Jean,RRIUBERGE;SDSEI 6;216404673
64041;Aressy;non;835;Ouzom,,ave,t,ives,u,eez;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Valérie,AMBON;Jean,RRIUBERGE;SDSEI 6;216400416
64439;Ousse;non;1716;Pays,e,orlaàs,t,u,ontanérès;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Isabelle,AHORE;Thierry,ARRERE;SDSEI 6;216414052
64550;Uzos;non;860;Ouzom,,ave,t,ives,u,eez;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Valérie,AMBON;Jean,RRIUBERGE;SDSEI 6;216405506
64037;Arbus;non;1275;Lescar,,ave,t,erres,u,ont-Long;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Sandrine,AFARGUE;Nicolas,ATRIARCHE;SDSEI 6;216400374
64518;Sendets;non;1171;Pays,e,orlaàs,t,u,ontanérès;CA,AU,EARN,YRENEES;Pau,gglomération;UTD,AU,T,ST,EARN;Isabelle,AHORE;Thierry,ARRERE;SDSEI 6;216414060


